date,description,reference,credit,debit,balance,utr
2026-08-01,RAZORPAY SETTLEMENT setl_01000,AXISCN8479902459,960692,0,100960692,AXISCN8479902459
2026-08-02,RAZORPAY SETTLEMENT setl_01001,HDFCCN4163119785,1877059,0,102837751,HDFCCN4163119785
2026-08-03,RAZORPAY SETTLEMENT setl_01002,AXISCN7831113321,4515720,0,107353471,AXISCN7831113321
2026-08-04,RAZORPAY SETTLEMENT setl_01003,AXISCN1939042955,292879,0,107646350,AXISCN1939042955
2026-08-05,RAZORPAY SETTLEMENT setl_01004,UTIBCN7635473142,266167,0,107912517,UTIBCN7635473142
2026-08-06,RAZORPAY SETTLEMENT setl_01005,UTIBCN4733616459,3728129,0,111640646,UTIBCN4733616459
2026-08-07,RAZORPAY SETTLEMENT setl_01006,ICICCN2193448329,3510302,0,115150948,ICICCN2193448329
2026-08-08,RAZORPAY SETTLEMENT setl_01007,AXISCN5693307665,2805744,0,117956692,AXISCN5693307665
2026-08-09,RAZORPAY SETTLEMENT setl_01008,ICICCN7887950851,2989091,0,120945783,ICICCN7887950851
2026-08-10,RAZORPAY SETTLEMENT setl_01009,UTIBCN9256195745,3811803,0,124757586,UTIBCN9256195745
2026-08-11,RAZORPAY SETTLEMENT setl_01010,ICICCN8995970241,4570384,0,129327970,ICICCN8995970241
2026-08-12,RAZORPAY SETTLEMENT setl_01011,AXISCN9786748825,1623787,0,130951757,AXISCN9786748825
2026-08-13,RAZORPAY SETTLEMENT setl_01012,AXISCN4673561638,2419092,0,133370849,AXISCN4673561638
2026-08-14,RAZORPAY SETTLEMENT setl_01013,ICICCN8877444318,3162296,0,136533145,ICICCN8877444318
2026-08-15,RAZORPAY SETTLEMENT setl_01014,ICICCN3783290795,3080838,0,139613983,ICICCN3783290795
2026-08-16,RAZORPAY SETTLEMENT setl_01015,UTIBCN4131575764,1450555,0,141064538,UTIBCN4131575764
2026-08-17,RAZORPAY SETTLEMENT setl_01016,SBINCN1240251661,3835026,0,144899564,SBINCN1240251661
2026-08-18,RAZORPAY SETTLEMENT setl_01017,SBINCN2149938334,2632581,0,147532145,SBINCN2149938334
2026-08-19,RAZORPAY SETTLEMENT setl_01018,ICICCN7439149233,4694386,0,152226531,ICICCN7439149233
2026-08-20,RAZORPAY SETTLEMENT setl_01019,HDFCCN2137651678,3807110,0,156033641,HDFCCN2137651678
2026-08-21,RAZORPAY SETTLEMENT setl_01020,UTIBCN7805745017,4646684,0,160680325,UTIBCN7805745017
2026-08-22,RAZORPAY SETTLEMENT setl_01021,ICICCN5284391408,3320115,0,164000440,ICICCN5284391408
2026-08-23,RAZORPAY SETTLEMENT setl_01022,AXISCN4246059658,4091129,0,168091569,AXISCN4246059658
2026-08-24,RAZORPAY SETTLEMENT setl_01023,HDFCCN5567816720,1300638,0,169392207,HDFCCN5567816720
