filing_id,return_period,supplier_gstin,invoice_number,invoice_date,taxable_value,cgst,sgst,igst,total
GST-2026-0001,082026,27AABCU9603R1ZM,INV-2026-0001,2026-08-01,491956,44276,44276,0,580508
GST-2026-0002,082026,29AABCU9603R1ZN,INV-2026-0002,2026-08-01,491956,44276,44276,0,580508
GST-2026-0003,082026,07AABCU9603R1ZP,INV-2026-0003,2026-08-01,640809,57672,57672,0,756153
GST-2026-0004,082026,33AABCU9603R1ZQ,INV-2026-0004,2026-08-01,640809,57672,57672,0,756153
GST-2026-0005,082026,06AABCU9603R1ZR,INV-2026-0005,2026-08-01,640809,57672,57672,0,756153
GST-2026-0006,082026,09AABCU9603R1ZS,INV-2026-0006,2026-08-03,4624866,416237,416237,0,5457340
GST-2026-0007,082026,19AABCU9603R1ZT,INV-2026-0007,2026-08-03,149978,13498,13498,0,176974
GST-2026-0008,082026,36AABCU9603R1ZU,INV-2026-0008,2026-08-03,149979,13498,13498,0,176975
GST-2026-0009,082026,32AABCU9603R1ZV,INV-2026-0009,2026-08-04,272599,24533,24533,0,321665
GST-2026-0010,082026,21AABCU9603R1ZW,INV-2026-0010,2026-08-05,1909119,171820,171820,0,2252759
GST-2026-0011,082026,24AABCU9603R1ZX,INV-2026-0011,2026-08-06,1909119,171820,171820,0,2252759
GST-2026-0012,082026,08AABCU9603R1ZY,INV-2026-0012,2026-08-06,1797573,161781,161781,0,2121135
GST-2026-0013,082026,27AABCU9603R1ZM,INV-2026-0013,2026-08-06,1797573,161781,161781,0,2121135
GST-2026-0014,082026,29AABCU9603R1ZN,INV-2026-0014,2026-08-07,2873559,258620,258620,0,3390799
GST-2026-0015,082026,07AABCU9603R1ZP,INV-2026-0015,2026-08-08,1530668,137760,137760,0,1806188
GST-2026-0016,082026,33AABCU9603R1ZQ,INV-2026-0016,2026-08-08,1530669,137760,137760,0,1806189
GST-2026-0017,082026,06AABCU9603R1ZR,INV-2026-0017,2026-08-09,1951967,175677,175677,0,2303321
GST-2026-0018,082026,09AABCU9603R1ZS,INV-2026-0018,2026-08-09,1951968,175677,175677,0,2303322
GST-2026-0019,082026,19AABCU9603R1ZT,INV-2026-0019,2026-08-10,1560284,140425,140425,0,1841134
GST-2026-0020,082026,36AABCU9603R1ZU,INV-2026-0020,2026-08-10,1560284,140425,140425,0,1841134
GST-2026-0021,082026,32AABCU9603R1ZV,INV-2026-0021,2026-08-10,1560284,140425,140425,0,1841134
GST-2026-0022,082026,21AABCU9603R1ZW,INV-2026-0022,2026-08-12,554344,49890,49890,0,654124
GST-2026-0023,082026,24AABCU9603R1ZX,INV-2026-0023,2026-08-12,554344,49890,49890,0,654124
GST-2026-0024,082026,08AABCU9603R1ZY,INV-2026-0024,2026-08-12,554345,49891,49891,0,654127
GST-2026-0025,082026,27AABCU9603R1ZM,INV-2026-0025,2026-08-12,825854,74326,74326,0,974506
GST-2026-0026,082026,27ZZZZZ0000Z1ZZ,INV-2026-0026,2026-08-12,825854,74326,74326,0,974506
GST-2026-0027,082026,29XXXXX9999X1XX,INV-2026-0027,2026-08-13,825854,74326,74326,0,974506
GST-2026-0028,082026,33AABCU9603R1ZQ,INV-2026-0028,2026-08-13,3238729,291485,291485,0,3821699
GST-2026-0029,082026,06AABCU9603R1ZR,INV-2026-0029,2026-08-15,1577651,141988,141988,0,1861627
GST-2026-0030,082026,09AABCU9603R1ZS,INV-2026-0030,2026-08-14,1577652,141988,141988,0,1861628
GST-2026-0031,082026,19AABCU9603R1ZT,INV-2026-0031,2026-08-16,742807,67352,66852,0,877011
GST-2026-0032,082026,36AABCU9603R1ZU,INV-2026-0032,2026-08-16,742808,66852,66852,0,876512
GST-2026-0033,082026,32AABCU9603R1ZV,INV-2026-0033,2026-08-16,3927719,353494,353494,0,4634707
GST-2026-0034,082026,21AABCU9603R1ZW,INV-2026-0034,2026-08-17,2696211,242658,242658,0,3181527
GST-2026-0035,082026,24AABCU9603R1ZX,INV-2026-0035,2026-08-18,1602617,144235,144235,0,1891087
GST-2026-0036,082026,08AABCU9603R1ZY,INV-2026-0036,2026-08-18,1602617,144235,144235,0,1891087
GST-2026-0037,082026,27AABCU9603R1ZM,INV-2026-0037,2026-08-18,1602617,144235,144235,0,1891087
GST-2026-0038,082026,29AABCU9603R1ZN,INV-2026-0038,2026-08-20,3899128,350921,350921,0,4600970
GST-2026-0039,082026,07AABCU9603R1ZP,INV-2026-0039,2026-08-21,4759097,428318,428318,0,5615733
GST-2026-0040,082026,33AABCU9603R1ZQ,INV-2026-0040,2026-08-21,3400414,306037,306037,0,4012488
